UserName,Class,PredClass
AlvaroVT,1,1
AlyssaDSB2,0,0
AnVaBra,1,1
Arodriguez725,0,0
Asgardian_Aesthetics,0,0
BM39470,1,1
Barinua210251,1,1
Blixer2,0,1
BlossomTheLeader,0,0
Braveheart_Mageclan,1,1
BriannaDPA,0,0
BudgieTalks,1,0
Buildmaster0303,1,1
CH1FCS19,1,1
CTK010203,1,1
ColeDMSW3,1,1
Coleman728,1,1
CoralineWhovian2002,0,0
CuteBunny444,1,1
CuteLittleCatGirl,1,1
D1670621,0,1
DMC986CC,0,0
Digitalwerkstatt-DUS,1,1
EUJs1601137,0,0
Eevee_11,1,1
Emoji_master_man,1,1
FIaria,0,0
FireLily_09,1,1
Funnygirl1345,0,0
Fuzzy717,1,1
GabiR12,0,0
GachaBunnyGirl,0,0
GoatSimulator2,1,1
GobbaStriker_BFDI,1,1
GogMilan,0,1
GoodBoy41,1,1
HMast2019,1,1
HarryPlotter7,1,1
Herzeriy,0,0
Hondenfan2009,0,0
HoneyDraws,0,0
Hornet85,1,0
HotCrossedBuns,0,0
IMAKESTUFF0427,1,1
Illini2005,1,1
IntroCompSciAccount,1,1
ItsYoGal_Sasune,0,1
ItzNowzPlayz,1,0
JB123pro,1,1
JG718990,1,1
JacksonG001,0,0
James3ae2019,0,0
JamesMSB2,0,0
JellyBelly126,1,1
Jlewis50,1,1
Jmmm11,1,1
JuniLearningScratch,0,1
KevLe2019,1,0
Knucklesreacts,1,1
KocurekFreeman12,0,0
Krainey1,1,1
KriptosLTest,0,0
LilyFlower-4ever,0,0
LisaK4,0,0
Lixih,1,0
LordeWaffles,1,1
Loser_Gacha,0,1
LuNa2OO7,0,1
Luigi_The_Gamer45,1,0
Luve4life,0,0
Lycaon246,1,0
MADMAXD666,1,1
MLatasa,1,1
MTWentworth,1,1
MURZILKA_CAT_test,1,1
Mackandpooh,1,1
Madisynkato,0,0
Marc_stlluis,1,1
Marnae1,1,1
MattCrosby,1,1
Melanieluna07,1,1
Mia5897,1,1
MikeyNsb2,0,0
MonkeyRapoza,1,1
Monsterbox09,0,0
Morkeh,0,1
MrCreeperPlaysGames,1,1
MrSmolBeans,0,0
MulberryP,0,1
NEF7532,1,1
N_B2019,1,1
Nata_G,1,0
NinjaMyaRa,1,1
Normal_Username77,1,1
NotByron,1,1
NotMarshMellowAlone,0,0
OGR1487,0,0
OGR769,1,1
OLSHY3,1,1
OVERWATCHER290,1,1
Pacaamalcauich,1,1
PaigeProductions,1,1
Phia8000,1,1
PhoenixRising11,0,0
PlandyTheNatureDevil,1,1
PollMichEVEN,0,1
RDB18,1,1
RapidBoy1,1,1
RebeccaRose777,0,0
RedDefault,1,1
RedPandas4life2,1,1
RedPandy15,0,0
Refed,1,1
Rexy2235,1,1
Ron0_and_Tungster,1,1
RufatComedian,1,1
RyanJamesRourke,1,1
Ryedaflyguy,1,1
SE3271,1,1
SPX3MAXG,0,1
Salvatoreperiod10,1,0
SamTheNam,1,1
Scratcher3747823939,0,0
ShMarley,1,1
SilentAndSmart,0,0
Softball1127,1,1
Sonicblox1991,0,0
Spideyboy200,1,1
Springbonnie121213,1,1
StormyDaysAwait,1,1
Sweet-Spades,1,1
TECNOPROCM1,1,1
THE_EAST_BEAST,1,1
TMF10,1,1
TMFCS19,1,1
Tacobro-1,0,1
Tariqadams,1,1
Taylor_Luke,1,1
Tazihound,0,0
TeletoonRises,0,0
Tgamer101010,0,0
TheAmazingNormalGuy,0,1
TheGreatestBagel,1,0
Thepuppysayswoof,1,1
Tigergirlmelody,1,1
TuiTHS2019,0,1
Tulm,1,1
UnderGen19,1,1
WESTEBRA000,1,0
WaddleDee97,1,1
